skeptycal/pascal-in-python	Pascal compiler implemented in python using Lex, Yacc and LLVM	public, fork	2012-05-16T10:31:33Z
skeptycal/pdftools	small collection of python scripts for pdf manipulation	public, fork	2018-10-28T15:57:40Z
skeptycal/personal-site	A small VUE.js portfolio site ... work in progress	public, fork	2022-01-15T06:45:35Z
skeptycal/personal_website_with_github	You can have a simple personal website based on your github api	public, fork	2018-09-28T18:45:48Z
skeptycal/phd-thesis	PhD Thesis	public, fork	2014-09-12T08:50:36Z
skeptycal/phdthesis	Source files for my thesis	public, fork	2015-09-06T00:27:30Z
skeptycal/plotly	An interactive graphing library for R	public, fork	2018-10-18T15:35:00Z
skeptycal/prime_numbers_generator	Eratosthenes Sieve based prime numbers generator written in Swift.	public, fork	2018-04-12T21:33:25Z
skeptycal/pull-request-filter-chrome-extension		public, fork	2022-02-11T06:07:56Z
skeptycal/pusher-python-realtime-dashboard	Build a realtime dashboard using Python and Pusher channels	public, fork	2018-06-30T06:16:30Z
skeptycal/pyEarth	:globe_with_meridians: A lightweight 3D visualization of the earth in 150 lines of Qt/OpenGL	public, fork	2018-03-12T06:52:55Z
skeptycal/pycurl	PycURL - Python interface to libcurl	public, fork	2021-04-07T21:35:26Z
skeptycal/pycurl-wrapper	Simplified wrapper for python-pycurl	public, fork	2017-08-15T09:05:48Z
skeptycal/pydata-cookbook	PyData Cookbook Project	public, fork	2018-04-28T04:10:41Z
skeptycal/pytest-plugins	A grab-bag of nifty pytest plugins	public, fork	2018-12-12T14:43:46Z
skeptycal/python-instagram	Python Client for Instagram API	public, fork	2021-04-07T21:36:37Z
skeptycal/python-visualization-landscape	Adaptation of Jake VanderPlas graphic about python visualization landscape	public, fork	2017-06-19T11:20:01Z
skeptycal/python_hurricane_gis_map	Example to create a GIS interactive map	public, fork	2017-09-21T11:34:48Z
skeptycal/python_snippets	Useful Python Snippets	public, fork	2017-09-13T12:41:04Z
skeptycal/pythonbenchmark	A simple Python Benchmark Library	public, fork	2017-04-17T04:57:35Z
skeptycal/random-walk	Re-run, Repeat, Reproduce, Replicate, Re-use	public, fork	2017-12-21T13:32:52Z
skeptycal/ray-tracer	A simple ray tracing engine	public, fork	2019-04-09T14:11:33Z
skeptycal/readthedocs.org	The source code that powers readthedocs.org	public, fork	2022-01-06T22:47:19Z
skeptycal/regexr	RegExr is a HTML/JS based tool for creating, testing, and learning about Regular Expressions.	public, fork	2018-11-02T18:59:22Z
skeptycal/remote-jobs	A list of semi to fully remote-friendly companies in tech.	public, fork	2022-02-13T18:31:15Z
skeptycal/remote-resources	Resources for working remote	public, fork	2016-07-04T23:08:33Z
skeptycal/selenium-python	Selenium Python Bindings Documentation	public, fork	2018-11-07T11:48:46Z
skeptycal/shiny	Easy interactive web applications with R	public, fork	2018-11-06T15:31:17Z
skeptycal/shopify-scraper	Simple scraper to extract all products from shopify sites	public, fork	2018-04-14T15:41:42Z
skeptycal/sleepless_mac	Status bar app that prevents your mac from sleeping.	public, fork	2019-08-17T16:01:26Z
skeptycal/snowflake	Snowflake Generator	public, fork	2018-02-13T04:34:19Z
skeptycal/sorting-visualiser	Visualises sorting algorithms.	public, fork	2017-02-27T01:13:04Z
skeptycal/spaceship-prompt	:rocket::star: A Zsh prompt for Astronauts	public, fork	2018-12-14T13:11:35Z
skeptycal/speech_recognition	Speech recognition module for Python, supporting several engines and APIs, online and offline.	public, fork	2018-12-20T09:54:59Z
skeptycal/speechsynth	Speech synthesis service in nodejs that proxies and caches Google Translate results	public, fork	2020-10-23T21:55:51Z
skeptycal/speed.python.org		public, fork	2016-09-07T20:52:25Z
skeptycal/speedup-builds	Some ideas on how to speed up builds / tests with Jenkins partitioning example	public, fork	2020-10-23T20:59:28Z
skeptycal/stanford-cs-229-machine-learning	VIP cheatsheets for Stanford's CS 229 Machine Learning	public, fork	2019-02-17T00:09:11Z
skeptycal/stanford-cs-230-deep-learning	VIP cheatsheets for Stanford's CS 230 Deep Learning	public, fork	2019-02-18T00:40:39Z
